"ID";"w1_q1";"w1_q2";"w1_q3";"w1_q3_txt";"w1_q4x1";"w1_q4x2";"w1_q4x3";"w1_q4x4";"w1_q4x5";"w1_q4x6";"w1_q4x7";"w1_q4x8";"w1_q5x1";"w1_q5x2";"w1_q5x3";"w1_q5x4";"w1_q17x1";"w1_q17x2";"w1_q17x3";"w1_q17x4";"w1_q17x5";"w1_q17x6";"w1_q18x1";"w1_q18x2";"w1_q18x3";"w1_q18x4";"w1_q18x5";"w1_q18x6";"w1_q19";"w1_q20";"w1_q21";"w1_q52x1";"w1_q52x2";"w1_q52x3";"w1_q52x4";"w1_q52x5";"w1_q53x1";"w1_q53x2";"w1_q53x3";"w1_q53x4";"w1_q53x5";"w1_q56";"w1_q64";"w1_q73";"w1_q74";"w3_q1";"w3_q2";"w3_q3";"w3_q4";"w3_q5";"w3_q6";"w3_q7";"w3_q8";"w3_q9x1";"w3_q9x2";"w3_q9x3";"w3_q9x4";"w3_q9x5";"w3_q9x6";"w3_q9x6_txt";"w3_q9x7";"w3_q10";"w3_q11";"w3_q12";"w3_q13";"w3_q14";"w3_q15";"w3_q16";"w3_q17";"w3_q18";"w3_q19";"w3_q20";"w3_q21";"w3_q22";"w3_q23";"w3_q24";"w3_q25";"w3_q31";"w3_q32";"w3_q35";"w3_q36";"PE_w3_pe_emissions";"PE_w3_pe_timer_submit";"PE_w3_pe_click_count";"PE_w3_pe_change";"PE_w3_q59";"PE_w3_q60";"PE_w3_q61"
2639;1984;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"strongly agree";"agree";"agree";"agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"7";"very good";"under 2000 chf";"10001 to 12000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"12000";15000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"several times a month";10;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished since 2010";6;200;"heating pump";"no";"somewhat worried";"7";"6";"6";10.93;169.909;30;"emissions have changed";NA;"6";"5"
2640;1987;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;99;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"strongly agree";"disagree";"agree";"disagree";"disagree";"agree";"agree";"disagree";"agree";"8";"fair";"6001 to 8000 chf";"10001 to 12000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"8000";10000;"5 days per week";999;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;0;1;"several times a month";20;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";2;80;"heating oil";"no";"very worried";"7";"8";"3";47.24;84.443;33;"emissions have changed";NA;"7";"5"
2641;1954;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";"engaged in voluntary work";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"disagree";"agree";"strongly agree";"agree";"neither agree nor disagree";"4";"very good";"2001 to 4000 chf";"6001 to 8000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"10000";10000;"2 days per week";100;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"at least once a month";5;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";2;96;"heating oil";"no";"very worried";"7";"4";"2";23.84;129.224;6;"emissions have changed";"no";"5";"5"
2644;1999;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;"engaged in voluntary work";NA;"full time";NA;NA;15;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"agree";"agree";"neither agree nor disagree";"agree";"neither agree nor disagree";"strongly agree";"neither agree nor disagree";"strongly agree";"disagree strongly";"7";"good";"4001 to 6000 chf";NA;"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"8000";10000;"1 day per week";180;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"at least once a month";2;2;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished between 1980 and 2010";3;45;"heating oil";"no";"somewhat worried";"6";"5";NA;13.88;63.77;25;"no change to emissions";"no";"3";"4"
2645;1968;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"neither agree nor disagree";"neither agree nor disagree";"agree";"disagree";"agree";"neither agree nor disagree";"agree";"disagree strongly";"agree";"2";"good";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"4000";10000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"daily";30;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";1;85;NA;"no";"somewhat worried";"5";"6";"6";17.7;105.128;33;"emissions have changed";NA;"8";"8"
2647;1970;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;"engaged in voluntary work";NA;"full time";NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"neither agree nor disagree";"strongly agree";"strongly agree";"strongly agree";"disagree strongly";"neither agree nor disagree";"strongly agree";"disagree strongly";"strongly agree";"6";"very good";"8001 to 10000 chf";"14001 to 16000 chf";"yes";"i have a company car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";NA;23000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";40;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";4;230;"heating oil";"no";"somewhat worried";"5";"5";"2";54.11;129.612;14;"emissions have changed";NA;"6";"5"
2648;1964;"female";"university of applied sciences, university of education";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;NA;NA;1.5;NA;NA;NA;NA;NA;NA;NA;"7 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"agree";"5";"good";"8001 to 10000 chf";"10001 to 12000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"6000";20000;"3 days per week";25;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";1;2;0;"daily";4;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";5;150;"natural gas";"no";"very worried";"8";"9";"6";56.34;128.001;25;"emissions have changed";NA;"extremely expensive 10";"6"
2651;1993;"male";"university / eth";NA;NA;"employed, in the private sector";NA;NA;"in training (school, university, apprenticeship)";NA;NA;NA;NA;"full time";NA;"full time";0;25;0;0;1;"i do not have a fixed place of work";0;40;0;0;1;NA;NA;"1 day";"yes, 1 days per week";"agree";"agree";"agree";"neither agree nor disagree";"agree";"agree";"strongly agree";"agree";"neither agree nor disagree";"neither agree nor disagree";"5";"good";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"4000";10000;"5 days per week";100;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";6;0;1;"several times a month";50;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";2;116;NA;"no";"very worried";"5";"3";"5";26.9;130.114;70;"emissions have changed";"yes";"3";"2"
2652;1962;"male";"university of applied sciences, university of education";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;50;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"yes, 1 days per week";"strongly agree";"strongly agree";"agree";"agree";"agree";"strongly agree";"strongly agree";"agree";"agree";"agree";"2";"fair";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"2000";5000;"2 days per week";100;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";35;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;74;"heating oil";"no";"extremely worried";"4";"3";"6";12.89;78.689;3;"emissions have changed";NA;"8";"3"
2653;1968;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;"unemployed / seeking employment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"disagree";"disagree";"agree";"neither agree nor disagree";"disagree";"disagree";"disagree";"disagree strongly";"agree";"7";"good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"6000";23000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"vegetarian (eg cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"semi-detached house / terraced house";"built / refurbished between 1980 and 2010";1;60;"heating oil";"no";"somewhat worried";"2";"3";"not at all confident 0";18.94;2048.633;43;"emissions have changed";NA;"6";"8"
2654;1988;"female";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;8;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"2";"good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i rent a car several times a year";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"2 days per week";25;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;0;1;"daily";0;75;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"vegan (eg fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";2;72;NA;"yes";"extremely worried";"7";"6";"not at all confident 0";16.11;112.498;19;"emissions have changed";"no";"4";"7"
2655;1962;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;6;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"2";"fair";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"4000";7000;"1 day per week";20;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;4;0;"several times a week";0;60;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";3;150;"heating pump";"no";"very worried";"7";"7";"7";15.49;369.314;50;"emissions have changed";NA;"7";"5"
2657;1952;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";"engaged in voluntary work";NA;"part time";NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 2 days per week";"disagree";"disagree";"disagree";"agree";"agree";"disagree";"disagree";"disagree";"disagree";"neither agree nor disagree";"6";"fair";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i have a company car";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";NA;10000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";2;120;"natural gas";"no";"somewhat worried";"6";"6";"4";40.54;10.069;2;"no change to emissions";"no";"6";"6"
2658;1992;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;NA;NA;"i do not have a fixed place of work";NA;NA;NA;NA;NA;NA;NA;NA;"no, i do not have the possibility to work at home";"neither agree nor disagree";"neither agree nor disagree";"neither agree nor disagree";"strongly agree";"neither agree nor disagree";"disagree";"disagree strongly";"agree";"disagree strongly";"neither agree nor disagree";"4";"good";"4001 to 6000 chf";"6001 to 8000 chf";"no";NA;NA;NA;NA;NA;"2 days per week";20;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"vegan (eg fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";2;100;"heating oil";"yes";NA;NA;NA;NA;40.96;4.627;1;"no change to emissions";"no";"extremely expensive 10";"extremely difficult 10"
2659;1967;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;"employed, self-employed";NA;NA;"engaged in household work, caring for dependents (ie children / elderly)";NA;NA;NA;NA;"part time";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"1";"good";"under 2000 chf";"10001 to 12000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"2000";11000;"1 day per week";5;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";8;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";3;128;"natural gas";"no";"extremely worried";"7";"6";"4";42.5;187.52;27;"emissions have changed";NA;"7";"5"
2661;1975;"female";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;4;NA;NA;0.5;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"agree";"strongly agree";"agree";"strongly agree";NA;"agree";"agree";"strongly agree";"agree";"agree";"5";"very good";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"someone in my household owns a car that i can use when necessary";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;10000;"7 days per week";40;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;7;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";1;32;NA;"no";"very worried";"7";"7";"3";23.44;51.25;15;"emissions have changed";NA;"7";"8"
2663;1963;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"neither agree nor disagree";"agree";"agree";"strongly agree";"agree";"neither agree nor disagree";"agree";"disagree";"agree";"5";"very good";"6001 to 8000 chf";"10001 to 12000 chf";"yes";"i own a car";"diesel engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"2000";15000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;1;0;"at least once a month";10;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";2;120;"heating oil";"no";"not very worried";"5";"2";"2";31.36;23.26;4;"emissions have changed";"no";"7";"6"
2664;1980;"male";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;2;100;5;7;2;NA;NA;NA;NA;NA;NA;NA;"1 day";NA;"yes, 4 days per week";"strongly agree";"strongly agree";"strongly agree";"disagree strongly";"strongly agree";"disagree";"strongly agree";"neither agree nor disagree";"agree";"disagree strongly";"4";"fair";"8001 to 10000 chf";"14001 to 16000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"6000";20000;"2 days per week";80;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;3;1;"several times a week";100;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";3;110;"heating oil";"no";"extremely worried";"7";"completely confident 10";"completely confident 10";41.94;174.892;108;"emissions have changed";"no";"not at all expensive 0";"3"
2665;1987;"male";"university of applied sciences, university of education";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"disagree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"disagree";"agree";"7";"good";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"10000";17000;"1 day per week";45;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";2;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";3;140;"heating oil";"no";"extremely worried";"6";"3";"1";34.01;176.143;47;"emissions have changed";NA;"6";"8"
2666;1976;"male";"matura, vocational school certificate";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;30;NA;3;NA;300;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 1 days per week";"agree";"agree";"neither agree nor disagree";"disagree";"disagree";"neither agree nor disagree";"disagree";"disagree";"disagree strongly";"disagree";"7";"good";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"12000";11000;"1 day per week";10;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";40;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";1;85;"district heating";"no";"somewhat worried";"5";"7";"3";4.63;25.58;7;"emissions have changed";NA;"4";"6"
2668;1947;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";"engaged in voluntary work";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"strongly agree";"agree";"agree";"agree";"neither agree nor disagree";"agree";"agree";"agree";"neither agree nor disagree";"strongly agree";"3";"good";"2001 to 4000 chf";"2001 to 4000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"4000";2000;"7 days per week";150;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;1;"rarely";5;5;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;83;"district heating";"no";"somewhat worried";"5";"4";"5";11.97;66.113;6;"emissions have changed";"no";"5";"5"
2670;1971;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;NA;NA;NA;5.2;NA;NA;NA;NA;NA;NA;NA;"2 days";NA;"yes, 1 days per week";"agree";"agree";"disagree strongly";NA;"neither agree nor disagree";"neither agree nor disagree";"neither agree nor disagree";"agree";"neither agree nor disagree";"agree";"2";"fair";"under 2000 chf";"8001 to 10000 chf";"yes";"someone outside my household owns a car that i can use when necessary";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"5 days per week";50;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";20;20;"s-pedelec (up to 1000w engine und electric assistance up to 45km / h)";"vegetarian (eg cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";3;121;"natural gas";"yes";"very worried";"a great deal 10";"7";"4";19.98;113.576;28;"emissions have changed";NA;"6";"3"
2673;1970;"male";"university / eth";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;6;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"1";"good";"6001 to 8000 chf";"12001 to 14000 chf";"yes";"i am a member of a car-sharing organization (eg mobility)";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;1000;"3 days per week";100;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"at least once a month";15;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";3;110;NA;"no";"extremely worried";"8";"3";"5";19.65;129.256;29;"emissions have changed";NA;"4";"6"
2675;1957;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;4;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"disagree";"agree";"agree";"agree";"agree";"agree";"agree";"agree";"disagree";"disagree";"3";"fair";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"16000";8000;"3 days per week";80;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";0;40;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";2;120;"heating pump";"no";"somewhat worried";"7";"8";"6";7.41;353.401;61;"emissions have changed";NA;"6";"3"
2677;1975;"male";"university of applied sciences, university of education";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"yes, 2 days per week";"agree";"agree";"agree";"disagree";"disagree";"agree";"disagree";"strongly agree";"disagree";"strongly agree";"7";"very good";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"30000";17000;"3 days per week";240;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a month";10;5;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished since 2010";6;255;"heating pump";"no";"very worried";"7";"3";"4";11.69;184.742;37;"emissions have changed";"no";"7";"7"
2678;1965;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"strongly agree";"strongly agree";"strongly agree";"agree";"4";"good";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"20000";10000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;2;0;"several times a week";20;50;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";2;119;"natural gas";"no";"extremely worried";"8";"8";"completely confident 10";25.81;219.269;37;"emissions have changed";NA;"4";"2"
2679;1969;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"neither agree nor disagree";"strongly agree";"disagree";"agree";"agree";"agree";"agree";"agree";"4";"good";"2001 to 4000 chf";"under 2000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"2000";6000;"1 day per week";50;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";1;50;"natural gas";"no";"somewhat worried";"8";"5";"5";12.96;72.721;10;"emissions have changed";"no";"5";"7"
